NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
152,RAB40B,0,0,0,0,0
153,RRM2B,0,0,0,0,0
154,CHCHD4,0,0,0,0,0
155,DNAI2,0,0,0,0,0
156,GAGE12J,0,0,0,0,0
157,SLC10A1,0,0,0,0,0
158,HAUS5,0,0,0,0,0
159,ITGB3BP,0,0,0,0,0
160,RAD51,0,0,0,0,0
161,CD1B,0,0,0,0,0
162,POLE2,0,0,0,0,0
163,TRIM23,0,0,0,0,0
164,FIP1L1,0,0,0,0,0
165,BAZ1B,0,0,0,0,0
166,CTNND2,0,0,0,0,0
167,FSTL1,0,0,0,0,0
168,GNG10,0,0,0,0,0
169,NME7,0,0,0,0,0
170,ANAPC2,0,0,0,0,0
171,HHATL,0,0,0,0,0
172,HLA-DQB2,0,0,0,0,0
173,POU2F3,0,0,0,0,0
174,RRM1,0,0,0,0,0
175,MTX1,0,0,0,0,0
176,HPGDS,0,0,0,0,0
177,TAGLN,1,0,0,0,0
178,ACAT1,0,0,0,0,0
179,PTTG1,0,0,0,0,0
180,CD7,0,0,0,0,0
181,CCL5,0,0,0,0,0
182,RALB,0,0,0,0,0
183,DNAJC17,0,0,0,0,0
184,ADAMTS7,0,0,0,0,0
185,PDGFB,0,0,0,0,0
186,DCK,0,0,0,0,0
187,LIG3,0,0,0,0,0
188,GTF3C2,0,0,0,0,0
189,ACSL6,0,0,0,0,0
190,CD72,0,0,0,0,0
191,HSPA9,0,0,0,0,0
192,PHKA2,0,0,0,0,0
193,MMUT,0,0,0,1,0
194,PHB2,0,0,0,0,0
195,OSBP,0,0,0,0,0
196,P4HA3,0,0,0,0,0
197,ROPN1B,0,0,0,0,0
198,NDUFV2,0,0,0,0,0
199,KCNE1B,0,0,0,0,0
200,ADH1B,1,0,0,0,0
201,DCAF12,0,0,0,0,0
202,SDS,0,0,0,0,0
203,IFNA17,0,0,0,0,0
204,EVI5,0,0,0,0,0
205,HLX,0,0,0,0,0
206,ABCC2,0,0,0,0,0
207,ATP5MF,0,0,0,0,0
208,ETF1,0,0,0,0,0
209,CRBN,0,0,0,0,0
210,CUEDC2,0,0,0,0,0
211,UPP1,0,0,0,0,0
212,IL21R,0,0,0,0,0
213,CCT6A,0,0,0,0,0
214,PRKRIP1,0,0,0,0,0
215,RIPK3,0,0,0,0,0
216,CXCL17,0,0,0,0,0
217,OSGIN2,0,0,0,0,0
218,ACAA2,0,0,0,0,0
219,MEF2C,0,0,0,0,0
220,KIF14,0,0,0,0,0
221,SPEF1,0,0,0,0,0
222,CENPS,0,0,0,0,0
223,LONP2,0,0,0,0,0
224,CPLX2,0,0,0,0,0
225,VPS11,0,0,0,0,0
226,TAF7L,0,0,0,0,0
227,ACOX1,0,0,0,0,0
228,MTHFD2,0,0,0,0,0
229,GNB1L,0,0,0,0,0
230,CDH23,0,0,0,0,0
231,USH1C,0,0,0,0,0
232,ALDH4A1,0,0,0,0,0
233,OSCAR,0,0,0,0,0
234,CHDH,0,0,0,0,0
235,SETD6,0,0,0,0,0
236,RRAS,0,0,0,0,0
237,FGF13,0,0,0,0,0
238,COPS5,0,0,0,0,0
239,PLXNA4,0,0,0,0,0
240,FNBP1,0,0,0,0,0
241,GAPDHS,0,0,0,0,0
242,FBXO4,0,0,0,0,0
243,SNX9,0,0,0,0,0
244,PRSS1,0,0,0,0,0
245,HBB,1,0,0,1,1
246,GRP,0,0,0,0,0
247,PEX19,0,0,0,0,0
248,SLC51A,0,0,0,0,0
249,GFM1,0,0,0,0,0
250,IFNL2,0,0,0,0,0
251,NDUFB7,0,0,0,0,0
252,SLC18A1,0,0,0,0,0
253,SQLE,0,0,0,0,0
254,LTB,0,0,0,0,0
255,RRAGB,0,0,0,0,0
256,MCM8,0,0,0,0,0
257,MED28,0,0,0,0,0
258,PARP3,0,0,0,0,0
259,MAD1L1,0,0,0,0,0
260,COG8,0,0,0,0,0
261,DCC,0,0,0,0,0
262,BMP10,0,0,0,0,0
263,EPN3,0,0,0,0,0
264,UGT1A7,0,0,0,0,0
265,COX10,0,0,0,0,0
266,PSMD10,0,0,0,0,0
267,USHBP1,0,0,0,0,0
268,HNF1A,0,0,0,0,0
269,SLC27A1,0,0,0,0,0
