Index1,Index2,Protein1,Protein2,score,InteractionType
2045,3972,SLC7A2,ARG2,831,Protein_Protein
2045,6921,SLC7A2,ARG1,841,Protein_Protein
3681,7261,HSPB6,HSPB8,793,Protein_Protein
3681,4948,HSPB6,HSPB1,902,Protein_Protein
3681,7385,HSPB6,DNAJB1,776,Protein_Protein
3681,6974,HSPB6,HSP90AA1,783,Protein_Protein
3681,2869,HSPB6,SHQ1,766,Protein_Protein
3681,2543,HSPB6,HSP90AB1,783,Protein_Protein
3681,6915,HSPB6,HSPA4,842,Protein_Protein
3681,6827,HSPB6,SFN,916,Protein_Protein
3681,4751,HSPB6,YWHAG,830,Protein_Protein
3681,5977,HSPB6,BAG3,938,Protein_Protein
3681,6624,HSPB6,HSPD1,799,Protein_Protein
1317,7348,PDK4,DLAT,817,Protein_Protein
1317,1426,PDK4,PDK2,795,Protein_Protein
1317,2111,PDK4,PPARGC1A,838,Protein_Protein
1317,7109,PDK4,VDAC1,829,Protein_Protein
1317,8730,PDK4,ITPR1,825,Protein_Protein
1317,127,PDK4,PDHA1,881,Protein_Protein
1317,191,PDK4,HSPA9,904,Protein_Protein
1317,5527,PDK4,PDHX,785,Protein_Protein
1317,4448,PDK4,INS,777,Protein_Protein
1317,2540,PDK4,PDK3,795,Protein_Protein
1317,1687,PDK4,SLC2A4,753,Protein_Protein
1317,4045,PDK4,ITPR3,817,Protein_Protein
231,6857,USH1C,MYO15A,855,Protein_Protein
231,353,USH1C,OTOG,856,Protein_Protein
231,6029,USH1C,ADGRV1,990,Protein_Protein
231,8571,USH1C,MYO7A,999,Protein_Protein
231,707,USH1C,USH2A,990,Protein_Protein
231,8629,USH1C,MYO7B,985,Protein_Protein
231,1667,USH1C,CDHR2,900,Protein_Protein
231,7771,USH1C,VEZT,829,Protein_Protein
231,1967,USH1C,TMC1,763,Protein_Protein
231,8548,USH1C,PCDH15,992,Protein_Protein
231,2444,USH1C,SERGEF,772,Protein_Protein
231,3411,USH1C,WHRN,950,Protein_Protein
231,267,USH1C,USHBP1,926,Protein_Protein
231,6197,USH1C,GRXCR1,777,Protein_Protein
231,7971,USH1C,CIB2,819,Protein_Protein
231,8572,USH1C,CLRN1,909,Protein_Protein
231,6899,USH1C,LHFPL5,786,Protein_Protein
231,6266,USH1C,PDZD7,915,Protein_Protein
231,4125,USH1C,SLC4A7,850,Protein_Protein
231,230,USH1C,CDH23,999,Protein_Protein
231,8839,USH1C,CDHR5,909,Protein_Protein
231,4458,USH1C,USH1G,999,Protein_Protein
231,5872,USH1C,ANKS4B,995,Protein_Protein
443,5852,RALA,RALGAPB,892,Protein_Protein
443,8323,RALA,FLNB,815,Protein_Protein
443,1207,RALA,MAPK9,925,Protein_Protein
443,8603,RALA,EXOC5,960,Protein_Protein
443,8147,RALA,RHOA,930,Protein_Protein
443,312,RALA,PLD1,984,Protein_Protein
443,8414,RALA,EXOC8,999,Protein_Protein
443,3510,RALA,RASA1,988,Protein_Protein
443,772,RALA,RALBP1,999,Protein_Protein
443,1673,RALA,CNKSR2,830,Protein_Protein
443,5590,RALA,RGL4,895,Protein_Protein
443,2531,RALA,SYNJ2BP,782,Protein_Protein
